Date;day;dayOfWeek;month;trimester;year;is_holiday;portugueseWeekName
14/01/2023;14;7;1;1;2023;0;S‡bado
15/01/2023;15;1;1;1;2023;0;Domingo
16/01/2023;16;2;1;1;2023;0;Segunda-feira
17/01/2023;17;3;1;1;2023;0;Tera-feira
18/01/2023;18;4;1;1;2023;0;Quarta-feira
19/01/2023;19;5;1;1;2023;0;Quinta-feira
20/01/2023;20;6;1;1;2023;0;Sexta-feira
21/01/2023;21;7;1;1;2023;0;S‡bado
22/01/2023;22;1;1;1;2023;0;Domingo
23/01/2023;23;2;1;1;2023;0;Segunda-feira
24/01/2023;24;3;1;1;2023;0;Tera-feira
25/01/2023;25;4;1;1;2023;0;Quarta-feira
26/01/2023;26;5;1;1;2023;0;Quinta-feira
27/01/2023;27;6;1;1;2023;0;Sexta-feira
28/01/2023;28;7;1;1;2023;0;S‡bado
29/01/2023;29;1;1;1;2023;0;Domingo
30/01/2023;30;2;1;1;2023;0;Segunda-feira
31/01/2023;31;3;1;1;2023;0;Tera-feira
01/02/2023;1;4;2;1;2023;0;Quarta-feira
02/02/2023;2;5;2;1;2023;0;Quinta-feira
03/02/2023;3;6;2;1;2023;0;Sexta-feira
04/02/2023;4;7;2;1;2023;0;S‡bado
05/02/2023;5;1;2;1;2023;0;Domingo
06/02/2023;6;2;2;1;2023;0;Segunda-feira
07/02/2023;7;3;2;1;2023;0;Tera-feira
08/02/2023;8;4;2;1;2023;0;Quarta-feira
09/02/2023;9;5;2;1;2023;0;Quinta-feira
10/02/2023;10;6;2;1;2023;0;Sexta-feira
11/02/2023;11;7;2;1;2023;0;S‡bado
12/02/2023;12;1;2;1;2023;0;Domingo
13/02/2023;13;2;2;1;2023;0;Segunda-feira
14/02/2023;14;3;2;1;2023;0;Tera-feira
15/02/2023;15;4;2;1;2023;0;Quarta-feira
16/02/2023;16;5;2;1;2023;0;Quinta-feira
17/02/2023;17;6;2;1;2023;0;Sexta-feira
18/02/2023;18;7;2;1;2023;0;S‡bado
19/02/2023;19;1;2;1;2023;0;Domingo
20/02/2023;20;2;2;1;2023;0;Segunda-feira
21/02/2023;21;3;2;1;2023;1;Tera-feira
22/02/2023;22;4;2;1;2023;0;Quarta-feira
23/02/2023;23;5;2;1;2023;0;Quinta-feira
24/02/2023;24;6;2;1;2023;0;Sexta-feira
25/02/2023;25;7;2;1;2023;0;S‡bado
26/02/2023;26;1;2;1;2023;0;Domingo
27/02/2023;27;2;2;1;2023;0;Segunda-feira
28/02/2023;28;3;2;1;2023;0;Tera-feira
01/03/2023;1;4;3;1;2023;0;Quarta-feira
02/03/2023;2;5;3;1;2023;0;Quinta-feira
03/03/2023;3;6;3;1;2023;0;Sexta-feira
04/03/2023;4;7;3;1;2023;0;S‡bado
05/03/2023;5;1;3;1;2023;0;Domingo
06/03/2023;6;2;3;1;2023;0;Segunda-feira
07/03/2023;7;3;3;1;2023;0;Tera-feira
08/03/2023;8;4;3;1;2023;0;Quarta-feira
09/03/2023;9;5;3;1;2023;0;Quinta-feira
10/03/2023;10;6;3;1;2023;0;Sexta-feira
11/03/2023;11;7;3;1;2023;0;S‡bado
12/03/2023;12;1;3;1;2023;0;Domingo
13/03/2023;13;2;3;1;2023;0;Segunda-feira
14/03/2023;14;3;3;1;2023;0;Tera-feira
15/03/2023;15;4;3;1;2023;0;Quarta-feira
16/03/2023;16;5;3;1;2023;0;Quinta-feira
17/03/2023;17;6;3;1;2023;0;Sexta-feira
18/03/2023;18;7;3;1;2023;0;S‡bado
19/03/2023;19;1;3;1;2023;0;Domingo
20/03/2023;20;2;3;1;2023;0;Segunda-feira
21/03/2023;21;3;3;1;2023;0;Tera-feira
22/03/2023;22;4;3;1;2023;0;Quarta-feira
23/03/2023;23;5;3;1;2023;0;Quinta-feira
24/03/2023;24;6;3;1;2023;0;Sexta-feira
25/03/2023;25;7;3;1;2023;0;S‡bado
26/03/2023;26;1;3;1;2023;0;Domingo
27/03/2023;27;2;3;1;2023;0;Segunda-feira
28/03/2023;28;3;3;1;2023;0;Tera-feira
29/03/2023;29;4;3;1;2023;0;Quarta-feira
30/03/2023;30;5;3;1;2023;0;Quinta-feira
31/03/2023;31;6;3;1;2023;0;Sexta-feira
01/04/2023;1;7;4;2;2023;0;S‡bado
02/04/2023;2;1;4;2;2023;0;Domingo
03/04/2023;3;2;4;2;2023;0;Segunda-feira
04/04/2023;4;3;4;2;2023;0;Tera-feira
05/04/2023;5;4;4;2;2023;0;Quarta-feira
06/04/2023;6;5;4;2;2023;0;Quinta-feira
07/04/2023;7;6;4;2;2023;1;Sexta-feira
08/04/2023;8;7;4;2;2023;0;S‡bado
09/04/2023;9;1;4;2;2023;1;Domingo
10/04/2023;10;2;4;2;2023;0;Segunda-feira
11/04/2023;11;3;4;2;2023;0;Tera-feira
12/04/2023;12;4;4;2;2023;0;Quarta-feira
13/04/2023;13;5;4;2;2023;0;Quinta-feira
14/04/2023;14;6;4;2;2023;0;Sexta-feira
15/04/2023;15;7;4;2;2023;0;S‡bado
16/04/2023;16;1;4;2;2023;0;Domingo
17/04/2023;17;2;4;2;2023;0;Segunda-feira
18/04/2023;18;3;4;2;2023;0;Tera-feira
19/04/2023;19;4;4;2;2023;0;Quarta-feira
20/04/2023;20;5;4;2;2023;0;Quinta-feira
21/04/2023;21;6;4;2;2023;0;Sexta-feira
22/04/2023;22;7;4;2;2023;0;S‡bado
23/04/2023;23;1;4;2;2023;0;Domingo
24/04/2023;24;2;4;2;2023;0;Segunda-feira
25/04/2023;25;3;4;2;2023;1;Tera-feira
26/04/2023;26;4;4;2;2023;0;Quarta-feira
27/04/2023;27;5;4;2;2023;0;Quinta-feira
28/04/2023;28;6;4;2;2023;0;Sexta-feira
29/04/2023;29;7;4;2;2023;0;S‡bado
30/04/2023;30;1;4;2;2023;0;Domingo
01/05/2023;1;2;5;2;2023;1;Segunda-feira
02/05/2023;2;3;5;2;2023;0;Tera-feira
03/05/2023;3;4;5;2;2023;0;Quarta-feira
04/05/2023;4;5;5;2;2023;0;Quinta-feira
05/05/2023;5;6;5;2;2023;0;Sexta-feira
06/05/2023;6;7;5;2;2023;0;S‡bado
07/05/2023;7;1;5;2;2023;0;Domingo
08/05/2023;8;2;5;2;2023;0;Segunda-feira
09/05/2023;9;3;5;2;2023;0;Tera-feira
10/05/2023;10;4;5;2;2023;0;Quarta-feira
11/05/2023;11;5;5;2;2023;0;Quinta-feira
12/05/2023;12;6;5;2;2023;0;Sexta-feira
13/05/2023;13;7;5;2;2023;0;S‡bado
14/05/2023;14;1;5;2;2023;0;Domingo
15/05/2023;15;2;5;2;2023;0;Segunda-feira
16/05/2023;16;3;5;2;2023;0;Tera-feira
17/05/2023;17;4;5;2;2023;0;Quarta-feira
18/05/2023;18;5;5;2;2023;0;Quinta-feira
19/05/2023;19;6;5;2;2023;0;Sexta-feira
20/05/2023;20;7;5;2;2023;0;S‡bado
21/05/2023;21;1;5;2;2023;0;Domingo
